Hour,pred2,dm3
0.0,0.0004995044836043446,0.0004271978021978022
1.0,0.0005453705263511869,0.000472952380952381
2.0,0.00046816111321376235,0.0004342637540453074
3.0,0.0005009861422142045,0.00041696322657176754
4.0,0.000583704934415587,0.0004484218629715166
5.0,0.0007242406164045303,0.0006892156862745097
6.0,0.0007523284319277692,0.000840655105973025
7.0,0.0007568511892085053,0.0009204423304310438
8.0,0.0007213560258775471,0.0007090464547677261
9.0,0.0006108870559798871,0.0006356331168831169
10.0,0.000655221378216354,0.0006517650940283735
11.0,0.0004947748497423641,0.0004900425367362723
12.0,0.0005644391290375052,0.0005423594615993665
13.0,0.0005452145401815654,0.0005690418679549115
14.0,0.000676932270149941,0.0007056446088505275
15.0,0.000573463631763737,0.000597121578099839
16.0,0.0006649798367406266,0.0007040062232594322
17.0,0.0006230049056159981,0.0006677655677655677
18.0,0.000544052485518138,0.0005038095238095239
19.0,0.0005343856848196616,0.00045962968996036274
20.0,0.0004934794850079116,0.00045681126331811265
21.0,0.0005353711355182662,0.00043408239700374533
22.0,0.0004983280047609305,0.0004708379475821337
23.0,0.00047411778731129285,0.0004108527131782946
