gas_temp_bn,fluid_temp,ground_temp,air_umidity,air_temp,gas_umidity,gas_temp,dm3_gas,bio_id,phase_test,Month,gas_temp_start,gas_temp_end
"(-0.85, 0.227]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,0.227
"(0.227, 1.304]",15.162,15.49,84.22,3.62,85.42999999999999,1.096,0.0,1.0,0.0,7.0,0.227,1.304
"(1.304, 2.381]",15.377857142857142,15.848214285714286,87.20714285714287,4.910714285714286,89.44928571428571,1.8325,0.0,1.0,0.10714285714285714,6.607142857142857,1.304,2.381
"(2.381, 3.458]",15.47375,15.914250000000001,84.865,5.2125,90.329,2.97025,0.0,1.0,0.15,6.3,2.381,3.458
"(3.458, 4.535]",16.000975609756097,16.419268292682926,90.70853658536586,5.507317073170732,86.81268292682927,4.085,0.0,1.0,0.6951219512195121,6.121951219512195,3.458,4.535
"(4.535, 5.613]",15.960315789473684,16.27136842105263,90.92526315789473,6.371578947368421,84.15305263157894,5.141894736842105,0.0,1.0,0.6631578947368421,6.294736842105263,4.535,5.613
"(5.613, 6.69]",16.064311377245506,16.202934131736527,92.64251497005988,6.979041916167665,80.88173652694611,6.207005988023952,0.0,1.0,0.9161676646706587,6.221556886227545,5.613,6.69
"(6.69, 7.767]",16.047179487179488,16.13748717948718,90.87641025641027,8.343589743589744,81.54692307692308,7.211333333333333,0.0,1.0,0.8307692307692308,6.2615384615384615,6.69,7.767
"(7.767, 8.844]",15.824577114427859,15.980348258706469,91.72487562189055,9.576119402985075,82.07810945273633,8.372587064676617,4.9751243781094526e-05,1.0,0.5970149253731343,6.537313432835821,7.767,8.844
"(8.844, 9.921]",15.871596958174903,16.031406844106463,91.64638783269962,10.556653992395438,83.47349809885931,9.421254752851711,0.00011406844106463878,1.0,0.4752851711026616,6.82509505703422,8.844,9.921
"(9.921, 10.998]",15.729721627408994,15.000192719486082,92.44025695931477,11.821627408993576,86.91353319057816,10.490364025695932,4.282655246252677e-05,1.0,0.20770877944325483,6.901498929336189,9.921,10.998
"(10.998, 12.075]",16.182687074829932,13.236394557823129,93.18418367346939,12.764285714285714,84.2440306122449,11.590799319727891,6.802721088435374e-05,1.0034013605442176,0.24829931972789115,6.862244897959184,10.998,12.075
"(12.075, 13.152]",17.22824427480916,3.729022900763359,92.3157251908397,13.740458015267176,83.39328244274809,12.61830534351145,4.580152671755725e-05,1.0244274809160305,0.3267175572519084,7.473282442748092,12.075,13.152
"(13.152, 14.229]",17.388916184971098,7.936907514450867,91.95650289017341,14.607658959537572,83.29793352601156,13.690910404624278,4.335260115606936e-05,1.0867052023121386,0.4595375722543353,7.59393063583815,13.152,14.229
"(14.229, 15.306]",18.221386503067485,2.2978159509202456,91.59926380368097,15.499141104294477,84.16455773955774,14.781423312883437,0.00019631901840490797,1.1411042944785277,0.6846625766871166,8.177914110429448,14.229,15.306
"(15.306, 16.383]",17.580280561122244,8.997515030060121,91.51543086172344,16.29318637274549,84.66422535211268,15.832875751503007,0.00018036072144288575,1.2605210420841684,0.8066132264529058,8.826653306613226,15.306,16.383
"(16.383, 17.46]",14.177679033649698,11.292571182053495,90.90931837791199,17.312942191544437,84.82632124352332,16.89521138912856,0.00039689387402933567,1.2588438308886971,0.9534081104400345,8.653149266609146,16.383,17.46
"(17.46, 18.538]",13.190968013468014,17.002794612794613,90.61776094276094,18.349242424242426,84.45931703204047,17.976616161616164,0.0005976430976430976,1.2971380471380471,1.1085858585858586,8.202861952861953,17.46,18.538
"(18.538, 19.615]",15.838267451640034,18.426820857863753,90.0901597981497,19.44112699747687,85.33309764309764,19.084650967199327,0.0005971404541631623,1.2960470984020185,1.1513877207737595,7.365853658536586,18.538,19.615
"(19.615, 20.692]",15.572218214607755,20.1336519386835,90.10198376916141,20.70712353471596,85.15417870036102,20.119440937781786,0.0007394048692515781,1.2317403065825068,1.2939585211902616,6.403967538322814,19.615,20.692
"(20.692, 21.769]",19.59505945945946,18.359859459459457,87.83783783783784,21.45545945945946,85.52891422366993,21.212421621621623,0.0004756756756756757,1.3005405405405406,1.202162162162162,6.368648648648649,20.692,21.769
"(21.769, 22.846]",17.81331168831169,18.31112012987013,84.66623376623377,22.15925324675325,85.07206270627063,22.26258116883117,0.000698051948051948,1.271103896103896,1.1899350649350648,6.433441558441558,21.769,22.846
"(22.846, 23.923]",15.793347547974413,14.629509594882729,78.96631130063965,22.689125799573564,85.07162393162392,23.410724946695094,0.0006183368869936034,1.3582089552238805,1.004264392324094,7.626865671641791,22.846,23.923
"(23.923, 25.0]",18.25291878172589,13.853807106598984,77.61776649746193,23.49695431472081,85.1457614213198,24.443756345177665,0.0004060913705583756,1.3375634517766497,1.0812182741116751,7.951776649746193,23.923,25.0
