Month,fluid_temp,ground_temp,air_umidity,air_temp,gas_umidity,gas_temp,dm3_gas,bio_id,phase_test
1,22.715203586103847,21.682611131864025,84.49480762047068,23.306350392230108,89.27771428571428,26.814785714285716,0.000306313036981696,2.0,1.0
2,23.28099961404863,22.206638363566192,80.23824778077962,24.022616750289462,,,0.00023928984947896564,2.0,1.0
3,23.630698270339526,22.70493593850096,88.31076233183857,22.54807815502883,,,0.0019506726457399102,2.0,2.0
4,22.257339635381502,21.025854152599596,90.05199189736665,18.774206617150572,,,0.0024577987846049966,2.0,2.0
5,21.22823435843054,18.719416755037116,87.95312831389184,15.069671261930011,,,0.0019300106044538707,2.0,2.8324496288441146
6,18.798368121442127,16.2973055028463,91.1203036053131,13.977609108159392,,,0.0015749525616698293,2.0,3.0
7,18.394203187250994,15.895318725099601,83.40378486055776,15.821314741035858,,,0.001952191235059761,2.0,3.0
11,19.84954512635379,19.40045487364621,77.75393501805054,21.85407942238267,89.35313718411552,22.80440072202166,7.581227436823104e-05,2.0,1.0
12,-22.747211843496654,21.49567148396193,78.16760662671837,22.772294677476207,82.68597110754415,26.558852988691438,0.00015509340853013748,2.0,1.0
