Column,F-statistic,p-value
fluid_temp,9.620235990117884,9.670027827669945e-22
ground_temp,9.122320175187872,2.2602493340110713e-20
air_umidity,8.589242018893147,6.482801869722251e-19
air_temp,4.535745539675785,2.9220128498051542e-08
gas_umidity,0.0,0.0
gas_temp,0.0,0.0
bio_id,48.16077373705148,1.4911457074647116e-132
phase_test,131.77150982658185,0.0
Month,35.37459581146053,1.5475459140684477e-95
Hour,1.0829282151887891,0.36731697927709434
