Hour,pred2,dm3
0.0,69.736885,0.4271875
1.0,70.22377,0.47293714285714283
2.0,69.01293,0.4342354368932039
3.0,68.913445,0.41693950177935946
4.0,69.439644,0.4484180138568129
5.0,67.84899,0.6891882352941175
6.0,66.51278,0.8406242774566474
7.0,65.821205,0.9204176072234763
8.0,61.623802,0.7090342298288509
9.0,58.444588,0.635625
10.0,55.806526,0.6517667436489607
11.0,51.86946,0.4900348027842228
12.0,49.243404,0.5423396674584323
13.0,46.489338,0.5690338164251209
14.0,45.42785,0.7056226880394575
15.0,46.074203,0.5971256038647343
16.0,45.776855,0.704002333722287
17.0,50.027798,0.6677633136094674
18.0,52.641003,0.5038057142857143
19.0,54.443275,0.459612314709236
20.0,53.422688,0.45679223744292236
21.0,53.7547,0.4340674157303371
22.0,53.571312,0.47083056478405316
23.0,52.777775,0.4108372093023256
