Month,fluid_temp,ground_temp,air_umidity,air_temp,gas_umidity,gas_temp,dm3_gas,bio_id,phase_test
1,22.508500186776242,22.268672020918938,84.49480762047068,23.306350392230108,83.42163265306122,27.2567055393586,0.0002614867388868136,1.5,1.0
2,23.203564260903125,22.596530297182554,80.23824778077962,24.022616750289462,85.51277777777777,27.498115468409587,0.0002122732535700502,1.5,1.0
3,23.544998398462525,23.349663677130042,88.31076233183857,22.54807815502883,84.84969056603774,23.755754716981134,0.0018593850096092247,1.5,2.0
4,21.420749493585415,21.021401080351115,90.05199189736665,18.774206617150572,82.265,18.316499999999998,0.0014686022957461178,1.5,2.0
5,19.425633242620894,18.57405065940967,85.96889261042496,15.717898262507848,70.48019685039371,17.65548589341693,0.0008729328030144442,1.3948084571907056,2.2365501360686624
6,16.856067314208268,16.060300429184547,90.17413598373616,13.902145922746781,82.15662532637076,13.880190538764785,0.0005624576462615767,1.3571267223853625,2.1427603343121753
7,15.914593152512227,15.381991996442864,83.26442863494887,14.386260560249,90.3395983935743,13.045429718875502,0.00043574922187638947,1.223210315695865,1.339261894175189
8,15.469959250203749,15.458459657701711,86.80228198859005,15.661287693561533,83.15020374898126,15.319910350448247,8.149959250203749e-06,1.0,0.0
9,18.89428571428571,18.655934065934066,87.37252747252747,18.76813186813187,82.24516483516484,19.667857142857144,0.0,1.0,0.0
10,18.502378378378378,18.712864864864866,92.58918918918918,16.842702702702702,83.98751351351352,17.591945945945948,0.0,1.0,0.0
11,19.790613718411553,2.362413357400722,77.75393501805054,21.85407942238267,84.88644584837544,23.373579422382672,8.122743682310469e-05,1.5,1.0
12,-0.5038456115615089,21.946170250264366,78.16760662671837,22.772294677476207,82.22496732026144,26.636991078669908,0.00013923158265773705,1.5,1.0
