Hour,preds,dm3
0.0,0.0004783299256032003,0.0004549415271726668
1.0,0.0005103937940917109,0.0004832818930041152
2.0,0.0004522169483676778,0.000438141545110751
3.0,0.00041968200513168826,0.0004025356576862124
4.0,0.0005292232861300659,0.0004956343091936312
5.0,0.0007850854303781136,0.0007642276422764228
6.0,0.000869253791751875,0.0008642638036809816
7.0,0.0010111552097327964,0.0009915285863561726
8.0,0.0008066666666666669,0.0007669062832800853
9.0,0.0007023683738812247,0.0006817608663403056
10.0,0.0007338229467525738,0.0006969932607568688
11.0,0.0005601633524513875,0.0005077918647649235
12.0,0.0006189170725108227,0.0005871212121212122
13.0,0.0006412320499548763,0.0006173355629877369
14.0,0.0007667461879532962,0.000759440813362382
15.0,0.0006832838468720825,0.0006560224089635855
16.0,0.0007998988285410013,0.0007814164004259852
17.0,0.0007634302527829317,0.000748260667903525
18.0,0.0005857304526748974,0.0005439814814814814
19.0,0.0004934501729594468,0.0004890704349746081
20.0,0.0005198623344074473,0.0004934837092731829
21.0,0.0005137996933621935,0.00047954545454545456
22.0,0.0005687280491698597,0.0005486111111111112
23.0,0.0005020098901098903,0.0004692307692307692
